name,owner,stars,age_days,merged_pull_requests,releases,update_frequency_days,primary_language,closed_issues_ratio,health_index
every-programmer-should-know,mtdvio,100280,3286,109,0,236,,0.6595744680851063,0.3492080542396664
TradingAgents,TauricResearch,99421,603,27,8,36,Python,0.5960698689956332,0.3730635353262241
ant-design,ant-design,99155,4139,18254,759,0,TypeScript,0.969119980471134,0.6778840122088161
material-ui,mui,98900,4387,22187,572,0,JavaScript,0.9328296368510846,0.6628107992497061
thefuck,nvbn,97735,4155,482,17,765,Python,0.6106194690265486,0.4386065556595138
tailwindcss,tailwindlabs,97300,3243,3476,307,8,TypeScript,0.9946949602122016,0.5499182658159245
app-ideas,florinpop17,97028,2735,151,0,316,,0.263681592039801,0.2738217282997978
Web-Dev-For-Beginners,microsoft,96436,2112,689,0,18,JavaScript,0.8540305010893247,0.4475339951452055
Deep-Live-Cam,hacksider,96084,1064,122,13,0,Python,0.9813242784380306,0.4316958413420586
pi,earendil-works,95827,379,917,255,0,TypeScript,0.9840225563909776,0.4497539453988859
bun,oven-sh,95610,1957,9936,215,0,Rust,0.8138364068333522,0.3442384797522137
puppeteer,puppeteer,95491,3392,6221,701,0,TypeScript,0.9667612484799352,0.6175628856511937
playwright,microsoft,95002,2472,17738,165,1,TypeScript,0.9919277986434216,0.5401686858700738
clean-code-javascript,ryanmcdermott,94765,3557,149,0,755,JavaScript,0.6720647773279352,0.4246561862951467
nvm,nvm-sh,94699,5973,761,74,5,Shell,0.8619844834626378,0.42575101649769753
java-design-patterns,iluwatar,94606,4397,1578,0,5,Java,0.8772819472616633,0.5212206404711008
autoresearch,karpathy,94503,169,7,0,150,Python,0.5221238938053098,0.3438891478476299
awesome-mcp-servers,punkpeye,92718,631,3392,0,5,,0.9786476868327402,0.3224927158280491
DeepSeek-R1,deepseek-ai,92030,580,10,1,422,,0.9835390946502056,0.28191626518228785
manim,3b1b,91951,4171,702,13,4,Python,0.6265157639450283,0.4872326955182939
claude-mem,thedotmack,91593,356,510,308,1,JavaScript,0.9775051124744376,0.4552678877994279
RuView,ruvnet,91375,442,408,291,0,Rust,0.9272349272349272,0.2996608953674286
storybook,storybookjs,90906,3810,13155,1000,1,TypeScript,0.8914478207067235,0.6834297397193928
open-design,nexu-io,90676,117,2947,30,0,TypeScript,0.7480832420591457,0.38755259163261657
opencv,opencv,90558,5148,14079,69,1,C++,0.7812982998454405,0.42404433877896774
uptime-kuma,louislam,90509,1877,1834,134,0,JavaScript,0.8563883810684542,0.4647371882036059
vue-element-admin,PanJiaChen,90207,3415,311,49,668,Vue,0.6523664544699695,0.2813415058425822
Stirling-PDF,Stirling-Tools,90185,1303,4154,186,0,Java,0.8038585209003215,0.4553165408766936
core,home-assistant,90063,4723,90319,1000,0,Python,0.9603627401587668,0.9045675846792918
sherlock,sherlock-project,90059,2799,744,2,0,Python,0.9168081494057724,0.47637331106755554
bitcoin,bitcoin,89989,5726,16842,68,2,C++,0.9636086293310088,0.46749261399843933
mermaid,mermaid-js,89902,4312,2824,206,2,TypeScript,0.6175151675019783,0.5246659736003748
servers,modelcontextprotocol,89801,642,1229,27,3,TypeScript,0.7908552074513124,0.4030748061768021
vllm,vllm-project,89789,1291,20266,103,0,Python,0.8745431703974418,0.48906879607022885
ML-For-Beginners,microsoft,89709,1999,496,0,3,Jupyter Notebook,0.987878787878788,0.30909382230843113
hugo,gohugoio,89502,4798,3487,381,2,Go,0.974184120798831,0.4556237447095542
agent-skills,addyosmani,89246,188,134,9,1,JavaScript,0.5912408759124088,0.36269614332584277
localsend,localsend,89107,1346,734,27,2,Dart,0.4487750556792873,0.23594550313801121
gin,gin-gonic,89099,4450,1248,29,8,Go,0.7484381507705122,0.36223087219059774
zed,zed-industries,89095,2010,26508,1000,0,Rust,0.889680502699354,0.5118008504925429
ragflow,infiniflow,89079,985,8596,53,0,Go,0.8311756244278802,0.28955493454998454
uv,astral-sh,89002,1055,10165,303,0,Rust,0.7442011706048125,0.3235229652343181
django,django,88752,5230,10693,0,2,Python,,0.535077481932612
awesome-for-beginners,MunGell,88644,3955,484,0,29,,0.9065420560747663,0.4200945623343382
NextChat,ChatGPTNextWeb,88639,1261,912,77,12,TypeScript,0.8047632234837995,0.42924742705400376
PaddleOCR,PaddlePaddle,88154,2298,3199,33,32,Python,0.9850760190280756,0.4774246580975213
svelte,sveltejs,87977,3562,6828,636,1,JavaScript,0.8972543037698845,0.6067726110724752
syncthing,syncthing,87904,4653,2931,479,1,Go,0.9399530358939951,0.4610082963417811
system-design-101,ByteByteGoHq,87458,1069,23,0,505,,0.3125,0.2075622030820753
odysseus,odysseus-dev,86046,84,1434,0,2,Python,0.530114722753346,0.35470485302874744
OpenCut,OpenCut-app,85553,427,192,3,13,TypeScript,0.2677595628415301,0.333335904456614
OpenHands,OpenHands,84853,893,7537,134,0,TypeScript,0.932984064614713,0.45741685517190495
laravel,laravel,84848,5555,1710,227,5,Blade,,0.39271789984405625
mall,macrozheng,84609,3063,1,3,101,Java,0.9762845849802372,0.4828766561323015
devops-exercises,bregman-arie,84231,2515,309,0,239,Python,0.6574074074074074,0.42387027090949264
awesome-interview-questions,DopplerHQ,84171,3921,175,0,755,,0.5573770491803278,0.3213854769117726
realworld,realworld-apps,84122,3830,435,0,9,TypeScript,0.9526411657559198,0.5094399137622903
worldmonitor,koala73,83917,227,4685,43,0,TypeScript,0.8373063170441001,0.40663930867110804
cs-video-courses,Developer-Y,83158,3593,283,0,46,,,0.33981338524954235
animate.css,animate-css,82741,5429,315,22,754,CSS,0.9514672686230248,0.3645493247404933
funNLP,fighting41love,82620,2924,14,0,835,Python,0.5217391304347826,0.3842744203133038
fzf,junegunn,82619,4687,690,84,0,Go,0.9170564390396008,0.3949448009321054
vite,vitejs,82492,2315,6639,714,0,TypeScript,0.944078199590816,0.5859090290174231
lobehub,lobehub,81950,1190,7983,1000,0,TypeScript,0.9528861154446178,0.5994158823736084
FiraCode,tonsky,81945,4302,145,29,26,Clojure,0.695746214852199,0.3483462674948903
llm-course,mlabonne,81936,1162,2,0,199,,0.3333333333333333,0.2354176412672802
lazygit,jesseduffield,81571,3018,2046,186,2,Go,0.6831792975970425,0.3382540844018885
spring-boot,spring-projects,81345,5056,204,355,2,Java,0.988895097080598,0.6030906702660475
deer-flow,bytedance,80674,473,1794,1,0,Python,0.7240466101694916,0.3884470579402933
ChinaTextbook,TapXWorld,80622,2422,1,0,309,Roff,0.418848167539267,0.2402582443562732
PayloadsAllTheThings,swisskyrepo,80300,3596,570,5,14,Python,,0.4537199344035072
netdata,netdata,80266,4814,12956,138,0,Go,0.9771387318012272,0.4429618596831896
Understand-Anything,Egonex-AI,80204,161,123,8,12,TypeScript,0.5510204081632653,0.3566890540217243
hoppscotch,hoppscotch,80082,2559,2141,107,1,TypeScript,0.7736526946107785,0.4727790653393992
d2l-zh,d2l-ai,79888,3287,1019,16,754,Python,,0.39626870032202083
github-readme-stats,anuraghazra,79825,2236,1569,0,23,JavaScript,0.8796561604584527,0.4558292951009344
taste-skill,Leonxlnx,79613,184,14,0,1,JavaScript,0.2926829268292683,0.32863025067249607
crawl4ai,unclecode,79236,836,231,20,3,Python,0.9637610186092068,0.4241172818972602
paperclip,paperclipai,79230,174,1844,20,0,TypeScript,0.2719508028698326,0.3335689590304678
advanced-java,doocs,79079,2878,94,1,59,Java,1.0,0.48240963379427027
hackingtool,Z4nzu,79078,2325,59,0,0,Python,0.7733333333333333,0.4447402388394913
code-server,coder,79024,2734,1763,253,2,TypeScript,0.9630012936610608,0.5194197176961214
Ventoy,ventoy,78903,2357,302,115,17,C,0.6827805222300635,0.3026952921254629
awesome-public-datasets,awesomedata,78537,4294,188,1,2,,0.3740458015267175,0.36549031575231045
MinerU,opendatalab,78296,906,1539,186,4,Python,0.9760888129803588,0.45553926797458344
elasticsearch,elastic,77853,6040,95743,261,0,Java,0.9012857294655192,0.8397495190110633
Prompt-Engineering-Guide,dair-ai,77722,1346,342,0,164,MDX,0.2913385826771653,0.20401458632268066
models,tensorflow,77649,3852,2345,51,2,Python,0.8533187653646545,0.5120397651492686
gpt4all,nomic-ai,77395,1244,938,38,452,C++,0.6717625899280576,0.23167683507801579
rtk,rtk-ai,77145,213,552,281,0,Rust,0.3134120917303683,0.22524967792159892
Font-Awesome,FortAwesome,76858,5301,222,65,38,JavaScript,0.9854519915721882,0.5643775908908344
LeetCodeAnimation,MisterBooo,76695,2817,63,0,72,Java,0.7049180327868853,0.4476385181754872
nest,nestjs,76440,3486,8710,158,0,TypeScript,0.9989761092150172,0.5484167781114948
grafana,grafana,76363,4638,69627,640,0,TypeScript,0.9393575369282792,0.7957836114760806
Best-websites-a-programmer-should-visit,sdmg15,76270,3457,430,0,340,,0.5675675675675675,0.33693851879148423
tesseract,tesseract-ocr,76133,4393,1469,36,1,C++,0.8423716558206796,0.37270475052526836
redis,redis,76086,6363,4764,150,0,C,0.680124663550078,0.43909050923268506
Scrapling,D4Vinci,76057,678,106,52,0,Python,0.9801324503311258,0.42585240489279996
AppFlowy,AppFlowy-IO,75881,1894,3895,142,12,Dart,0.7875770507349454,0.31324309410013673
imgui,ocornut,75831,4416,427,122,0,C++,0.8486775545599075,0.3845184580212791
json-server,typicode,75687,4652,171,49,152,JavaScript,0.4828164291701592,0.4811204565974211
